model,light_strength,ambient_strength,psnr,psnr_std
TeaPot_B00ESU7PFG_WhiteRoseFlowers,4.0,0.01,17.4527166118565,0.17563024823761142
TeaPot_B00ESU7PFG_WhiteRoseFlowers,4.0,0.15,17.400547733813152,0.05637811187656788
TeaPot_B00ESU7PFG_WhiteRoseFlowers,2.5,0.02,20.760941116681984,1.1593365576287733
TeaPot_B00ESU7PFG_WhiteRoseFlowers,1.0,0.1,13.715092819269273,0.20310443450827542
TeaPot_B00ESU7PFG_WhiteRoseFlowers,1.5,0.2,22.151140314033317,0.6218974032438876
TeaPot_B00ESU7PFG_WhiteRoseFlowers,1.0,0.04,12.324427995671353,0.22008131769707406
TeaPot_B00ESU7PFG_WhiteRoseFlowers,3.0,0.03,19.28871208509691,0.5412859078538331
TeaPot_B00ESU7PFG_WhiteRoseFlowers,2.0,0.15,22.6027502140666,0.8831836787604365
TeaPot_B00ESU7PFG_WhiteRoseFlowers,1.5,0.03,16.710957993423637,0.542576973519658
TeaPot_B00ESU7PFG_WhiteRoseFlowers,4.0,0.1,17.446708201670308,0.06411153507326886
TeaPot_B00ESU7PFG_WhiteRoseFlowers,3.5,0.25,17.70941076265523,0.08556408771850636
TeaPot_B00ESU7PFG_WhiteRoseFlowers,5.0,0.05,16.81912758553631,0.14666752698564317
TeaPot_B00ESU7PFG_WhiteRoseFlowers,1.5,0.01,16.117530145138055,0.5468204593273195
TeaPot_B00ESU7PFG_WhiteRoseFlowers,1.0,0.25,17.71327483121922,0.18789094951226618
TeaPot_B00ESU7PFG_WhiteRoseFlowers,2.5,0.01,20.707295463009395,1.2245818311244177
TeaPot_B00ESU7PFG_WhiteRoseFlowers,1.5,0.15,20.50320619019456,0.58797320940845
TeaPot_B00ESU7PFG_WhiteRoseFlowers,4.0,0.05,17.470022305200715,0.10635580839304928
TeaPot_B00ESU7PFG_WhiteRoseFlowers,1.5,0.02,16.414809580622858,0.5435842580391962
TeaPot_B00ESU7PFG_WhiteRoseFlowers,1.0,0.03,12.098188904605559,0.22386419590790504
TeaPot_B00ESU7PFG_WhiteRoseFlowers,3.5,0.04,18.066919750766722,0.19108709037804872
TeaPot_B00ESU7PFG_WhiteRoseFlowers,3.0,0.25,18.3736248705494,0.20288882278291626
TeaPot_B00ESU7PFG_WhiteRoseFlowers,4.5,0.25,16.958244172840192,0.12829255867932554
TeaPot_B00ESU7PFG_WhiteRoseFlowers,1.0,0.2,16.273223627381526,0.18607223764428651
TeaPot_B00ESU7PFG_WhiteRoseFlowers,1.0,0.01,11.64745196535267,0.2323428344660434
TeaPot_B00ESU7PFG_WhiteRoseFlowers,3.5,0.2,17.811442864205155,0.0968832848577548
TeaPot_B00ESU7PFG_WhiteRoseFlowers,1.5,0.04,17.010603504919978,0.5427195675312432
TeaPot_B00ESU7PFG_WhiteRoseFlowers,1.0,0.15,14.947428964998256,0.19266108856993872
TeaPot_B00ESU7PFG_WhiteRoseFlowers,2.0,0.04,21.281691953776587,1.1684178419502305
TeaPot_B00ESU7PFG_WhiteRoseFlowers,5.0,0.01,16.791563537244183,0.17063375482124718
TeaPot_B00ESU7PFG_WhiteRoseFlowers,2.0,0.05,21.503479611533116,1.1498657073697056
TeaPot_B00ESU7PFG_WhiteRoseFlowers,2.0,0.01,20.500504549355465,1.2172007411345005
TeaPot_B00ESU7PFG_WhiteRoseFlowers,3.5,0.1,17.98888580145807,0.1361512112445026
TeaPot_B00ESU7PFG_WhiteRoseFlowers,4.5,0.1,17.082338306019736,0.0926568336370245
TeaPot_B00ESU7PFG_WhiteRoseFlowers,2.5,0.03,20.796743346401826,1.0975704419960848
TeaPot_B00ESU7PFG_WhiteRoseFlowers,2.0,0.25,22.05236563928267,0.5276694073580995
TeaPot_B00ESU7PFG_WhiteRoseFlowers,4.0,0.04,17.470097828799005,0.12002838132760515
TeaPot_B00ESU7PFG_WhiteRoseFlowers,3.0,0.15,18.802352505416486,0.15036094721651497
TeaPot_B00ESU7PFG_WhiteRoseFlowers,4.0,0.25,17.2725195147139,0.0765701592158301
TeaPot_B00ESU7PFG_WhiteRoseFlowers,4.5,0.02,17.073484408265916,0.13638305810773185
TeaPot_B00ESU7PFG_WhiteRoseFlowers,5.0,0.1,16.818942824770136,0.1442292375850597
TeaPot_B00ESU7PFG_WhiteRoseFlowers,3.5,0.05,18.05580226740547,0.1769483941005915
TeaPot_B00ESU7PFG_WhiteRoseFlowers,2.5,0.25,19.73139514699203,0.16174343116662968
TeaPot_B00ESU7PFG_WhiteRoseFlowers,1.5,0.25,23.58213220173034,0.6536243412458422
TeaPot_B00ESU7PFG_WhiteRoseFlowers,4.5,0.01,17.062478047771435,0.15197006571633456
TeaPot_B00ESU7PFG_WhiteRoseFlowers,4.5,0.05,17.088559144354324,0.1065731248024287
TeaPot_B00ESU7PFG_WhiteRoseFlowers,3.0,0.05,19.243944099315414,0.4306958112408648
TeaPot_B00ESU7PFG_WhiteRoseFlowers,2.5,0.15,20.471836041770885,0.4521443283082464
TeaPot_B00ESU7PFG_WhiteRoseFlowers,2.0,0.1,22.30933491818223,1.0358071020378798
TeaPot_B00ESU7PFG_WhiteRoseFlowers,2.5,0.04,20.817912578034516,1.0375015683347
TeaPot_B00ESU7PFG_WhiteRoseFlowers,3.0,0.2,18.562519129467866,0.2054854539750737
TeaPot_B00ESU7PFG_WhiteRoseFlowers,1.5,0.05,17.31069863169989,0.5440076632669358
TeaPot_B00ESU7PFG_WhiteRoseFlowers,2.0,0.03,21.039390021456388,1.184060838981543
TeaPot_B00ESU7PFG_WhiteRoseFlowers,5.0,0.25,16.72514442456753,0.1744639287451091
TeaPot_B00ESU7PFG_WhiteRoseFlowers,4.5,0.15,17.053526286739427,0.10068376227115236
TeaPot_B00ESU7PFG_WhiteRoseFlowers,5.0,0.02,16.802424052037182,0.16130982534244065
TeaPot_B00ESU7PFG_WhiteRoseFlowers,2.0,0.02,20.780074958758348,1.1997004612883695
TeaPot_B00ESU7PFG_WhiteRoseFlowers,4.5,0.2,17.010574058462055,0.11434782704924426
TeaPot_B00ESU7PFG_WhiteRoseFlowers,5.0,0.04,16.815503421110698,0.14990305772026868
TeaPot_B00ESU7PFG_WhiteRoseFlowers,2.5,0.1,20.729593115891053,0.7006127989866175
TeaPot_B00ESU7PFG_WhiteRoseFlowers,3.0,0.02,19.30197075924303,0.6037298195157617
TeaPot_B00ESU7PFG_WhiteRoseFlowers,4.0,0.02,17.462389266378317,0.15410795328522667
BirdHouseRedRoofYellowWindows,4.0,0.03,17.986817539087905,1.3260129507161431
BirdHouseRedRoofYellowWindows,3.0,0.1,22.34253296276205,1.314256309684147
BirdHouseRedRoofYellowWindows,2.0,0.2,21.98533955236757,1.268061529952931
BirdHouseRedRoofYellowWindows,3.5,0.15,19.360178502346887,1.353493555132138
BirdHouseRedRoofYellowWindows,3.5,0.03,20.229187423661337,1.51399652599319
BirdHouseRedRoofYellowWindows,5.0,0.2,13.946717736446738,0.8371008242902226
BirdHouseRedRoofYellowWindows,1.0,0.05,11.397609580246698,0.5117710635090054
BirdHouseRedRoofYellowWindows,2.5,0.2,23.719130593014647,0.9701903933722068
BirdHouseRedRoofYellowWindows,4.5,0.04,16.121943098702396,1.1015168103466901
BirdHouseRedRoofYellowWindows,3.5,0.01,20.181617489023914,1.6324598627163225
BirdHouseRedRoofYellowWindows,3.5,0.02,20.226833892722144,1.561560800409717
BirdHouseRedRoofYellowWindows,3.0,0.01,21.77474720775168,1.8201072040202362
BirdHouseRedRoofYellowWindows,2.5,0.05,21.61428689662599,1.4826468336094545
BirdHouseRedRoofYellowWindows,4.5,0.03,16.164791840899362,1.117946091600719
BirdHouseRedRoofYellowWindows,4.0,0.2,16.70962202833008,1.1146701378745323
BirdHouseRedRoofYellowWindows,3.0,0.04,22.211746828012455,1.530463468397334
BirdHouseRedRoofYellowWindows,1.0,0.02,10.859159440639328,0.4781631769562275
BirdHouseRedRoofYellowWindows,5.0,0.03,14.758832226099788,0.9625996461926173
BirdHouseRedRoofYellowWindows,1.5,0.1,15.626849478329495,0.744532721234495
BirdHouseRedRoofYellowWindows,5.0,0.15,14.204335209032584,0.8688311433253063
BirdHouseRedRoofYellowWindows,4.0,0.01,18.01652272201354,1.391636512562406
BirdHouseRedRoofYellowWindows,4.0,0.15,17.135116520877368,1.1738486118745741
BirdHouseRedRoofYellowWindows,2.5,0.02,20.764239174057522,1.5564765978531312
BirdHouseRedRoofYellowWindows,1.0,0.1,12.281835604007174,0.5780718832766395
BirdHouseRedRoofYellowWindows,1.5,0.2,17.8385768660335,0.9635994177528368
BirdHouseRedRoofYellowWindows,1.0,0.04,11.219877224358466,0.49991726794029123
BirdHouseRedRoofYellowWindows,3.0,0.03,22.109963445296252,1.606727773679432
BirdHouseRedRoofYellowWindows,2.0,0.15,20.751254254083427,1.1976743636485643
BirdHouseRedRoofYellowWindows,1.5,0.03,14.154185505829412,0.645785934816886
BirdHouseRedRoofYellowWindows,4.0,0.1,17.543794505920363,1.2281045507233226
BirdHouseRedRoofYellowWindows,3.5,0.25,18.293365672808942,1.2671828597426305
BirdHouseRedRoofYellowWindows,5.0,0.05,14.684580673238198,0.9426977089230076
BirdHouseRedRoofYellowWindows,1.5,0.01,13.716108062935973,0.6320615434382324
BirdHouseRedRoofYellowWindows,1.0,0.25,15.054332039247033,0.8580759377038328
BirdHouseRedRoofYellowWindows,2.5,0.01,20.422507437064507,1.5943374038904483
BirdHouseRedRoofYellowWindows,1.5,0.15,16.710332525141897,0.8444597719409859
BirdHouseRedRoofYellowWindows,4.0,0.05,17.890690666420277,1.288945664908865
BirdHouseRedRoofYellowWindows,1.5,0.02,13.939654683863541,0.6372848745419388
BirdHouseRedRoofYellowWindows,1.0,0.03,11.040741219682445,0.48858385362130186
BirdHouseRedRoofYellowWindows,3.5,0.04,20.207869609753025,1.4793215942291738
BirdHouseRedRoofYellowWindows,3.0,0.25,20.913571021374217,1.4475618550939562
BirdHouseRedRoofYellowWindows,4.5,0.25,14.831397902523346,0.8945996205970687
